	Scores
Sentence93	1.0000000000000002
Sentence246	1.0000000000000002
Sentence475	1.0000000000000002
Sentence858	1.0000000000000002
Sentence1152	1.0000000000000002
Sentence1159	1.0000000000000002
Sentence1218	1.0000000000000002
Sentence1451	1.0000000000000002
Sentence1491	1.0000000000000002
Sentence2127	1.0000000000000002
Sentence2226	1.0000000000000002
Sentence2335	1.0000000000000002
Sentence2506	1.0000000000000002
Sentence2775	1.0000000000000002
Sentence3791	1.0000000000000002
Sentence4157	1.0000000000000002
Sentence4252	1.0000000000000002
Sentence4949	1.0000000000000002
Sentence5110	1.0000000000000002
Sentence5272	1.0000000000000002
Sentence5311	1.0000000000000002
Sentence5370	1.0000000000000002
Sentence5553	1.0000000000000002
Sentence5729	1.0000000000000002
Sentence6447	1.0000000000000002
Sentence320	1.0
Sentence369	1.0
Sentence533	1.0
Sentence1014	1.0
Sentence1092	1.0
Sentence1237	1.0
Sentence1507	1.0
Sentence2016	1.0
Sentence2250	1.0
Sentence2463	1.0
Sentence2508	1.0
Sentence2637	1.0
Sentence2881	1.0
Sentence2897	1.0
Sentence2951	1.0
Sentence2954	1.0
Sentence3060	1.0
Sentence3245	1.0
Sentence3247	1.0
Sentence3481	1.0
Sentence3494	1.0
Sentence3554	1.0
Sentence3979	1.0
Sentence4151	1.0
Sentence4185	1.0
Sentence4429	1.0
Sentence4589	1.0
Sentence4600	1.0
Sentence4884	1.0
Sentence5141	1.0
Sentence5319	1.0
Sentence5333	1.0
Sentence5387	1.0
Sentence5418	1.0
Sentence5544	1.0
Sentence5845	1.0
Sentence5972	1.0
Sentence6001	1.0
Sentence6017	1.0
Sentence6039	1.0
Sentence6068	1.0
Sentence6323	1.0
Sentence6426	1.0
Sentence6446	1.0
Sentence6458	1.0
Sentence6489	1.0
Sentence1012	0.9999999999999998
Sentence1323	0.9999999999999998
Sentence1579	0.9999999999999998
Sentence1838	0.9999999999999998
Sentence2876	0.9999999999999998
Sentence3110	0.9999999999999998
Sentence3179	0.9999999999999998
Sentence3714	0.9999999999999998
Sentence4008	0.9999999999999998
Sentence4782	0.9999999999999998
Sentence4850	0.9999999999999998
Sentence4960	0.9999999999999998
Sentence5213	0.9999999999999998
Sentence5695	0.9999999999999998
Sentence6170	0.9999999999999998
Sentence3433	0.9997567260222148
Sentence3095	0.9997502341311261
Sentence4646	0.9996708522353849
Sentence2757	0.9996590634745267
Sentence950	0.999656646032304
Sentence5454	0.999650654992218
Sentence2004	0.999629600340438
Sentence2415	0.9996247335104245
Sentence4394	0.9995339805122139
Sentence1560	0.9994666238508625
Sentence717	0.9994653199591526
Sentence606	0.9994502212420814
Sentence4262	0.999399484829758
Sentence3710	0.9993902467580383
Sentence1366	0.9993692873643237
Sentence590	0.9993648152222698
Sentence3831	0.9993458703717952
Sentence5814	0.9993317880067721
Sentence5619	0.9993213325539975
Sentence5341	0.9993169692685816
Sentence6099	0.9993168227293658
Sentence1209	0.9992825106331242
Sentence2618	0.9992818668880791
Sentence3934	0.9992641880909078
Sentence6264	0.999245203918594
Sentence3789	0.9992280468842629
Sentence940	0.9991816937637022
Sentence1690	0.999165875456052
Sentence733	0.9991253002783644
Sentence5423	0.9991224458335302
Sentence40	0.9990723042442433
Sentence6441	0.9990687658508891
Sentence2756	0.9990527722771576
Sentence5090	0.9990510069667004
Sentence2036	0.9990327393516296
Sentence2323	0.9990172521892765
Sentence1327	0.9990078294628265
Sentence3725	0.9989692437192221
Sentence6413	0.9989610531638089
Sentence5283	0.9989583092385604
Sentence6274	0.9989473932354697
Sentence2733	0.998939740713808
Sentence5408	0.998902317416972
Sentence5462	0.998894807439811
Sentence5355	0.9988895490562324
Sentence762	0.9988812605677317
Sentence5188	0.9988490752591636
Sentence2782	0.9988330160748582
Sentence937	0.9988286944107457
Sentence5819	0.9988186291996964
Sentence2493	0.9988151191625869
Sentence4688	0.9987860366541224
Sentence1434	0.9987811043271195
Sentence3712	0.9987145225678752
Sentence807	0.9987075895132719
Sentence2914	0.9987055718349238
Sentence5273	0.9986917292239573
Sentence3378	0.9986879969863285
Sentence4311	0.9986815227387579
Sentence3959	0.9986675753021907
Sentence5623	0.9986658605633547
Sentence4383	0.99866468299292
Sentence5948	0.9986443450348285
Sentence5937	0.9986113461644127
Sentence6102	0.9986032322481486
Sentence2631	0.9986027783164726
Sentence3221	0.998587164910434
Sentence6433	0.9985838664047237
Sentence4030	0.9985811187116941
Sentence5916	0.9985665975369795
Sentence3031	0.9984777254644485
Sentence1803	0.9984517794402855
Sentence4007	0.9984463868471123
Sentence5676	0.9984420936471915
Sentence6236	0.9984348346977647
Sentence3607	0.9983840530851001
Sentence5534	0.9983638111408707
Sentence6200	0.9983634771350092
Sentence3536	0.9983550089375915
Sentence5764	0.9983493489778148
Sentence3834	0.9983307043930404
Sentence3022	0.9983207088218886
Sentence6407	0.9983153450250131
Sentence4587	0.9983022716882395
Sentence6396	0.9982261553394756
Sentence6383	0.9982135764695104
Sentence5391	0.9982029476695544
Sentence5850	0.9981566776714482
Sentence2533	0.9981563418662531
Sentence1908	0.9981530509949421
Sentence4935	0.9981452814975456
Sentence3802	0.9981442375936697
Sentence2247	0.9981288972085242
Sentence4023	0.9981065533446868
Sentence5792	0.9981021893365574
Sentence2772	0.9980717457154722
Sentence3902	0.9980582524271846
Sentence5385	0.9980210897650634
Sentence4403	0.9979772754540358
Sentence3905	0.9979524170195951
Sentence186	0.9979497534702135
Sentence3111	0.9979357265649138
Sentence2725	0.9978879135632397
Sentence5992	0.9978782976187851
Sentence4419	0.9978647144337041
Sentence999	0.9978637444338316
Sentence512	0.997860538395442
Sentence2256	0.9978364965921471
Sentence4835	0.9978201052118297
Sentence680	0.9978042954690499
Sentence3129	0.997802585889991
Sentence2507	0.9977952056967887
Sentence5050	0.9977900554380976
Sentence3410	0.9977850772201144
Sentence1122	0.9977823830906993
Sentence6110	0.9977805130325212
Sentence1571	0.9977610756041578
Sentence1	0.9977476694540771
Sentence2270	0.9977473841041007
Sentence1043	0.9977356702451644
Sentence3764	0.9977247940326294
Sentence1331	0.9976831749487964
Sentence6206	0.9976817431578422
Sentence488	0.9976744186046513
Sentence1398	0.9976679471813268
Sentence208	0.9976575089899822
Sentence5346	0.9976573349274821
Sentence4631	0.9976568784042273
Sentence3596	0.9976524188601511
Sentence1776	0.9976400973981668
Sentence5305	0.9975843863637515
Sentence4762	0.9975534938694477
Sentence5003	0.9975304579165558
Sentence5933	0.9975297296080026
Sentence1932	0.997515313561486
Sentence5679	0.9974994313072321
Sentence1057	0.9974882098819708
