rank	sentence_num	score
11	Sentence3714	1.0000000000000002
22	Sentence5729	1.0000000000000002
27	Sentence6446	1.0000000000000002
28	Sentence6447	1.0000000000000002
30	Sentence320	1.0
40	Sentence1237	1.0
53	Sentence2463	1.0
58	Sentence2881	1.0
61	Sentence3247	1.0
66	Sentence3494	1.0
71	Sentence3979	1.0
75	Sentence4600	1.0
78	Sentence5333	1.0
90	Sentence6001	1.0
92	Sentence6068	1.0
97	Sentence6426	1.0
6413	Sentence674	0.6991102641135596
6424	Sentence901	0.6912840233363219
6429	Sentence3786	0.6869056829251637
6440	Sentence5338	0.6677972922045832
6443	Sentence1403	0.6525883142803822
6445	Sentence5051	0.6493608501946394
6455	Sentence4177	0.6399303912418102
6456	Sentence2853	0.6382165145874136
6470	Sentence823	0.6053769676044798
6478	Sentence4298	0.5752962414881445
6488	Sentence2207	0.5417586553306186
6490	Sentence5734	0.5389737848655793
6491	Sentence4498	0.5388586167990047
6493	Sentence3887	0.5326811540207913
6496	Sentence4890	0.4958565755457494
