	0	1	2	3	4	5	6	7	8	9
Sentence1	('model1-model2', 0.9813835494819472)	('model1-model3', 0.9819589245553155)	('model1-model4', 0.9807727131451889)	('model1-model5', 0.9916651919067888)	('model2-model3', 0.9873953550094794)	('model2-model4', 0.985736132863728)	('model2-model5', 0.9728640916230865)	('model3-model4', 0.9993170116965012)	('model3-model5', 0.9738706036625527)	('model4-model5', 0.972813739377768)
Sentence2	('model1-model2', 0.98931219634431)	('model1-model3', 0.988772511790138)	('model1-model4', 0.9884148717764414)	('model1-model5', 0.9888229272831285)	('model2-model3', 0.9857778235973708)	('model2-model4', 0.9948435590662599)	('model2-model5', 0.9908493806218396)	('model3-model4', 0.9950069880951885)	('model3-model5', 0.9970688554152798)	('model4-model5', 0.995983876613895)
Sentence3	('model1-model2', 0.9890436958337909)	('model1-model3', 0.9941835263172121)	('model1-model4', 0.9936736727450506)	('model1-model5', 0.9990156962744164)	('model2-model3', 0.9911786068031366)	('model2-model4', 0.9932460182958436)	('model2-model5', 0.989417972216358)	('model3-model4', 0.9987232622328038)	('model3-model5', 0.9923034816339418)	('model4-model5', 0.9923127892594189)
Sentence4	('model1-model2', 0.9901475429766743)	('model1-model3', 0.9728800643061843)	('model1-model4', 1.0)	('model1-model5', 0.9941988596598869)	('model2-model3', 0.9924855569590227)	('model2-model4', 0.9901475429766743)	('model2-model5', 0.9742360096347986)	('model3-model4', 0.9728800643061843)	('model3-model5', 0.9600531900158316)	('model4-model5', 0.9941988596598869)
Sentence5	('model1-model2', 0.9968389577940717)	('model1-model3', 0.9623771545860553)	('model1-model4', 0.9946757820640502)	('model1-model5', 0.9585988533444175)	('model2-model3', 0.9687282542913724)	('model2-model4', 0.9955160045411376)	('model2-model5', 0.9647193286305178)	('model3-model4', 0.9605333420892155)	('model3-model5', 0.9957467926476491)	('model4-model5', 0.9551093367089405)
Sentence6	('model1-model2', 0.9708588934310113)	('model1-model3', 0.978516865550606)	('model1-model4', 0.9811956936173756)	('model1-model5', 0.9804974569196038)	('model2-model3', 0.9895910179563042)	('model2-model4', 0.9923638864388112)	('model2-model5', 0.9852073364364201)	('model3-model4', 0.9901080044540356)	('model3-model5', 0.9886054806051837)	('model4-model5', 0.9914331594187196)
Sentence7	('model1-model2', 0.9567143414180512)	('model1-model3', 0.965941567466855)	('model1-model4', 0.9569638951777445)	('model1-model5', 0.9568652031332123)	('model2-model3', 0.9808886373617662)	('model2-model4', 0.9650795842299772)	('model2-model5', 0.9654118970056593)	('model3-model4', 0.9771543681406396)	('model3-model5', 0.978398062844212)	('model4-model5', 0.9688469189845321)
Sentence8	('model1-model2', 0.9805448985686529)	('model1-model3', 0.9805448985686529)	('model1-model4', 0.9805448985686529)	('model1-model5', 0.9805448985686529)	('model2-model3', 1.0)	('model2-model4', 1.0)	('model2-model5', 1.0)	('model3-model4', 1.0)	('model3-model5', 1.0)	('model4-model5', 1.0)
Sentence9	('model1-model2', 0.9366525431893156)	('model1-model3', 0.9192364847602678)	('model1-model4', 0.9753204846160798)	('model1-model5', 0.9213679623742372)	('model2-model3', 0.9052560190011983)	('model2-model4', 0.961439373893888)	('model2-model5', 0.9301443647766957)	('model3-model4', 0.9175600558006887)	('model3-model5', 0.9184976013239465)	('model4-model5', 0.9428521542346036)
Sentence10	('model1-model2', 0.9878616908195711)	('model1-model3', 0.9910714285714285)	('model1-model4', 0.9643959372630744)	('model1-model5', 0.9910714285714285)	('model2-model3', 0.9964517924788717)	('model2-model4', 0.9649505047327672)	('model2-model5', 0.9964517924788717)	('model3-model4', 0.9643959372630744)	('model3-model5', 0.9999999999999999)	('model4-model5', 0.9643959372630744)
