	Scores
Sentence403	1.0000000000000002
Sentence423	1.0000000000000002
Sentence488	1.0000000000000002
Sentence620	1.0000000000000002
Sentence661	1.0000000000000002
Sentence684	1.0000000000000002
Sentence726	1.0000000000000002
Sentence1850	1.0000000000000002
Sentence2511	1.0000000000000002
Sentence3473	1.0000000000000002
Sentence3653	1.0000000000000002
Sentence3714	1.0000000000000002
Sentence3739	1.0000000000000002
Sentence3759	1.0000000000000002
Sentence4197	1.0000000000000002
Sentence4208	1.0000000000000002
Sentence4516	1.0000000000000002
Sentence4553	1.0000000000000002
Sentence4580	1.0000000000000002
Sentence4741	1.0000000000000002
Sentence4909	1.0000000000000002
Sentence4978	1.0000000000000002
Sentence5729	1.0000000000000002
Sentence6201	1.0000000000000002
Sentence6214	1.0000000000000002
Sentence6262	1.0000000000000002
Sentence6303	1.0000000000000002
Sentence6446	1.0000000000000002
Sentence6447	1.0000000000000002
Sentence124	1.0
Sentence320	1.0
Sentence535	1.0
Sentence687	1.0
Sentence702	1.0
Sentence807	1.0
Sentence850	1.0
Sentence945	1.0
Sentence1148	1.0
Sentence1193	1.0
Sentence1231	1.0
Sentence1237	1.0
Sentence1243	1.0
Sentence1354	1.0
Sentence1584	1.0
Sentence1634	1.0
Sentence1641	1.0
Sentence1776	1.0
Sentence2047	1.0
Sentence2240	1.0
Sentence2259	1.0
Sentence2317	1.0
Sentence2318	1.0
Sentence2417	1.0
Sentence2463	1.0
Sentence2493	1.0
Sentence2633	1.0
Sentence2713	1.0
Sentence2762	1.0
Sentence2881	1.0
Sentence3200	1.0
Sentence3210	1.0
Sentence3247	1.0
Sentence3259	1.0
Sentence3352	1.0
Sentence3396	1.0
Sentence3410	1.0
Sentence3494	1.0
Sentence3583	1.0
Sentence3636	1.0
Sentence3699	1.0
Sentence3828	1.0
Sentence3979	1.0
Sentence4172	1.0
Sentence4384	1.0
Sentence4393	1.0
Sentence4600	1.0
Sentence4981	1.0
Sentence5112	1.0
Sentence5333	1.0
Sentence5432	1.0
Sentence5449	1.0
Sentence5450	1.0
Sentence5456	1.0
Sentence5615	1.0
Sentence5736	1.0
Sentence5738	1.0
Sentence5813	1.0
Sentence5884	1.0
Sentence5927	1.0
Sentence5979	1.0
Sentence6001	1.0
Sentence6050	1.0
Sentence6068	1.0
